Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service_type
Recovery Options (Covenant Hills),https://www.auntbertha.com//covenant-hills--san-juan-capistrano-ca--recovery-options/4781296875732992?postal=19131,"['counseling', 'navigating the system', 'help hotlines', 'one-on-one support']",,"['adults', 'young adults', 'teens', 'children', 'seniors', 'substance dependency']",844-277-9386,https://covenanthillstreatment.com/,,,[],available,"Covenant Hills offers free crisis counseling for people struggling with addiction and co-occurring disorders, a helpline operator can help you find resources near you to start your recovery process.Services Provided:- 24 hour help hotline- CounselingHelpline provides counseling for conditions including:- Alcohol Addiction- Heroin Addiction- Prescription Drugs & Opioids Addiction- Cocaine Addiction- Methamphetamine Addiction- Hallucinogen AddictionCall us today and start the process towards a new life in recovery.",['English'],Free,TRUE,,,This program covers residents of All US states and territories.,,,,TRUE,,,,,,,,4.5/5,Mental Health
Lung Cancer HELPLine (LUNGevity),https://www.auntbertha.com//lungevity--bethesda-md--lung-cancer-helpline/5086221841989632?postal=19131,"['mental health care', 'support network', 'help hotlines', 'one-on-one support']","['transportation', 'help find healthcare', 'help find childcare', 'navigating the system']","['adults', 'young adults', 'teens', 'seniors', 'cancer', 'lung cancer', 'limited english', 'caregivers', 'depression', 'anxiety']",844-360-5864,https://www.lungevity.org/for-patients-caregivers/support-services/lung-cancer-helpline,,,['This program serves individuals living with lung cancer and their caregivers.'],available,"The Lung Cancer HELPLine offers toll-free, personalized support for patients and caregivers at any time along their lung cancer journey. LUNGevity oncology social workers are fluent in both English and Spanish and are available to help you manage your emotional, financial, and support challenges.This program provides:- Support network- Mental health - Navigating service - Referrals for resourcesPlease note, this hotline is not open 24/7, check the office hours for more information.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/lungevity/,https://www.twitter.com/@LUNGevity,This program covers residents of All US states and territories.,,,,FALSE,10:00AM - 6:00PM   ,10:00AM - 6:00PM   ,10:00AM - 6:00PM   ,10:00AM - 6:00PM   ,10:00AM - 5:00PM   ,Closed,Closed,5.0/5,Mental Health
Todo Por Mi Familia (Seneca Family of Agencies),https://www.auntbertha.com//seneca-family-of-agencies--santa-ana-ca--todo-por-mi-familia/5716651834212352?postal=19131,"['mental health care', 'navigating the system']",,"['all ages', 'immigrants', 'refugees', 'families', 'with children', 'limited english']",844-529-3327,https://senecafoa.org/todopormifamilia/,,,['This program serves families who were forcibly separated at the US border.'],available,"Seneca Family of Agencies operates the nationwide Todo Por Mi Familia program to help meet the mental health needs of families who were forcibly separated at the US border.This program provides:- Referrals/linkage to mental health servicesSeneca is coordinating referrals to local mental health providers for interested families who were impacted by the Government’s policy. All services will be free, confidential, and conducted in the families’ preferred language.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/SenecaFOA/,https://www.twitter.com/@SenecaFOA,This program covers residents of All US states and territories.,,,,FALSE,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,Closed,Closed,0/5,Mental Health
ROGER Wellness Services (Stop Soldier Suicide),https://www.auntbertha.com//stop-soldier-suicide--durham-nc--roger-wellness-services/5143669586919424?postal=19131,"['mental health care', 'counseling', 'one-on-one support', 'virtual support']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'individuals', 'suicidal thoughts']",844-830-6027,https://goroger.org/about,,,"['This program services all service members, veterans, and military families from every branch and every generation, regardless of discharge status.']",available,"ROGER is the wellness service of Stop Soldier Suicide (SSS), a veteran-founded and veteran-owned nonprofit.  ROGER provides confidential and personalized suicide-specific care for U.S. veterans and service members, at no cost. ROGER care is tailored to each individual's needs with a focus on preventing suicide and increasing overall wellbeing. The ROGER team can also provide secondary resourcing and referral support while engaged in the program to assist with life stressors that aid in wellbeing.

States Covered: Alabama, California, Florida, Georgia, Illinois, Indiana, Maryland, Mississippi, North Carolina, Nevada, New York, Ohio, Oregon, South Carolina, Texas and Virginia.",['English'],Free,TRUE,https://www.facebook.com/stopsoldiersuicide/,,This program covers residents of All US states and territories.,,,,TRUE,,,,,,,,5.0/5,Mental Health
Recovery Coaching (Life Continues),https://www.auntbertha.com//life-continues--cave-creek-az--recovery-coaching/4889393922572288?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'one-on-one support', 'virtual support']",,"['adults 18+', 'individuals', 'low-income', 'substance dependency']",844-950-5433,,,,['This program serves individuals who are living with substance dependency.'],full,"Life Continues offers 24/7 one-on-one recovery coaching to those with substance dependency. Their positive, next steps technology-based coaching support will supplement and compliment treatment options. This program provides:- One-on-one substance dependency recovery support- Virtual support: GPS monitoring, video calls, daily texts and phone callsLife Continues does not turn down a client for inability to pay. They have a sliding scale for fee schedule, to those who qualify. If a prospective client cannot pay anything, they are coached and referred to find appropriate free care.Please call to schedule a consultation.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,FALSE,,,,,,,,0/5,Mental Health
Survivor's Support Services (The Alliance of Hope),https://www.auntbertha.com//the-alliance-of-hope--evanston-il--survivor%2527s-support-services/5632450272952320?postal=19131,"['bereavement', 'support network', 'support groups', 'virtual support']",,"['adults', 'young adults', 'teens', 'seniors', 'grieving', 'individuals', 'families', 'low-income', 'spouses', 'dependents', 'suicidal thoughts']",847-868-3313,https://allianceofhope.org/find-support/,,,['This program serves individuals and families who have experienced the loss of a loved one to suicide.'],available,"The Alliance of Hope was created by survivors, for survivors, helping survivors understand the complex emotional aftermath of suicide. The forum offers services for the long-term, helping survivors move through every step of the healing journey toward living a meaningful, productive life again.This program provides:- Consultation with a grief counselor- 24/7 online community support- Helpful information and resources- Help creating a memorial fundThe website contains information and resources as well as essays, stories, and tips from other loss survivors. There are many people in the community forum who have lost loved ones to suicide. They will understand what you are going through.Healing support is provided for people coping with the shock, excruciating grief, and complex emotions that accompany the loss of a loved one to suicide.",['English'],Reduced Cost,TRUE,https://www.facebook.com/Hopeaftersuicide/,https://www.twitter.com/@AllianceofHope,This program covers residents of All US states and territories.,,,,TRUE,,,,,,,,5.0/5,Mental Health
Catholic Clinical Consultants - Outpatient Counseling Services (Catholic Social Services),https://www.auntbertha.com//catholic-social-services-%2528css%2529--philadelphia-pa--catholic-clinical-consultants---outpatient-counseling-services/4888996681351168?postal=19131,"['counseling', 'family counseling', 'individual counseling']",,"['all ages', 'individuals', 'families', 'spouses', 'all mental health']",855-518-2223,https://cssphiladelphia.org/services/catholic-clinical-consultants/,,,[],available,"CSS' Outpatient Counseling Services are available at some of their regional Family Service Centers and other locations, through Catholic Clinical Consultants, a division of Catholic Health Care Services. Licensed therapists offer counseling to individuals, married couples, and families to help them deal with stress and anxiety, substance abuse, relationship conflicts, and other behavioral or mental health issues.This program provides:- Counseling (individual, married couples, families)Fees are modest and most insurance plans are accepted.",['English'],Reduced Cost,TRUE,https://www.facebook.com/cssphiladelphia,https://www.twitter.com/@CSSPhilly,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Face It TOGETHER (face it Together),https://www.auntbertha.com//face-it-together--sioux-falls-sd--face-it-together/5597691184939008?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'peer recovery coaching', 'navigating the system', 'one-on-one support', 'peer support', 'virtual support']",,"['adults', 'young adults', 'teens', 'seniors', 'substance dependency']",855-539-9375,https://www.wefaceittogether.org,,,['This program helps people who are older than 17 years old'],available,"At Face It TOGETHER, we believe people impacted by addiction, including their loved ones, deserve the same dignity and respect as anyone else affected by a serious illness. Our expert coaches help you discover your path to wellness. If you're a loved one, or struggling with the disease, we're with you every step of the way. Our professional peer coaches help guide you through the challenges you're facing around addiction. Your coach is your wellness partner, providing knowledge, support and skills – or accountability – depending on your needs. We focus on improving every aspect of your life – not just the part that involves drinking or using.You'll receive high-quality, confidential and non-judgmental support from our expert coaches:- Assessments of current strengths, challenges and risks- Personalized addiction management plan and action steps- Weekly coaching sessions- Specialized support for people with the disease and loved ones- Data to track your progress- Convenient options including coaching by video, phone or in person- Unlimited messaging with coach- Connection to resources to support addiction wellness- Navigation to treatment and clinical care as neededFace It TOGETHER has a number of sponsored memberships available for those in financial need. To get started, call or text us at 855-539-9375.",['English'],Free,TRUE,https://www.facebook.com/wefaceittogether/,,This program covers residents of All US states and territories.,,,,FALSE,10:00AM - 7:00PM  ,10:00AM - 7:00PM  ,10:00AM - 7:00PM  ,10:00AM - 7:00PM  ,9:00AM - 5:00PM  ,Closed,Closed,5.0/5,Mental Health
Pregnancy and Infant Loss Support (Three Little Birds Pregnancy and Infant Loss Support),https://www.auntbertha.com//three-little-birds-pregnancy-and-infant-loss-support--philadelphia-pa--pregnancy-and-infant-loss-support/5761630039310336?postal=19131,"['bereavement', 'burial & funeral help', 'support network', 'one-on-one support', 'peer support', 'spiritual support', 'support groups', 'virtual support']",,"['adults', 'young adults', 'teens', 'pregnant', 'individuals', 'families', 'parents']",856-656-6436,https://www.threelittlebirdsperinatal.org/,,,[],available,Three Little Birds Perinatal provides services that support individuals through pregnancy/infant loss and provide relevant resources and advocacy. This program provides:- Virtual support- One-on-one support- Support groups- Infant photography- Funeral assistance This program is open to those who live within 50 miles of Philadelphia (which includes the South Jersey region).,['English'],Free,TRUE,https://www.facebook.com/ThreeLittleBirdsPerinatal/,,"This program covers residents of the following counties: Atlantic County, NJ, Burlington County, NJ, Camden County, NJ, Cape May County, NJ, Cumberland County, NJ, Gloucester County, NJ, Salem County, NJ, Bucks County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0/5,Mental Health
Guide Dog Partnership (Fidelco Guide Dog Foundation),https://www.auntbertha.com//fidelco-guide-dog-foundation--bloomfield-ct--guide-dog-partnership/5671027471548416?postal=19131,['support & service animals'],,"['adults', 'young adults', 'teens', 'children', 'seniors', 'visual impairment']",860-243-4044,http://www.fidelco.org/who-we-are---who-we-serve,,,['This program helps blind or visually-impaired individuals.'],available,"Fidelco's Guide Dog Partnership program trains and places German Shepherd guide dogs with a wide variety of blind and visually-impaired individuals in order to help them live their lives to the fullest with freedom and independence.Services provided:- German Shepherd guide dogs- One-on-one community training- 24/7 client support for the entire working life of guide dogsWe provide our German Shepherd Guide Dogs at no cost to clients.  All the training you receive from our certified trainer/instructors and all at-home follow-up visits (at least once yearly) are also provided free of charge, as is access to our 24/7 hotline.If you would like to learn more about our application process or to comple our Guide Dog Application Package Request, please visit our website or call us.",['English'],Free,TRUE,https://www.facebook.com/fidelcoguidedog,https://www.twitter.com/@fidelco,This program covers residents of All US states and territories.,,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,5.0/5,Mental Health
Behavioral Health Hotline (National Rehab Hotline),https://www.auntbertha.com//national-rehab-hotline--washington-dc--behavioral-health-hotline/4585417848455168?postal=19131,"['understand mental health', 'navigating the system', 'support network', 'help hotlines']",,"['all ages', 'individuals', 'families', 'in crisis', 'all mental health', 'substance dependency', 'alcohol dependency']",866-210-1303,https://nationalrehabhotline.org/,,,['This program serves anyone struggling through a substance use or mental health crisis.'],available,"National Rehab Hotline understand that when you or a loved one needs help for a mental health or substance use issue, you need it now, and you need support and referrals you can trust. Their trained counselors provide immediate, round-the-clock assistance to those affected by drug and alcohol use and mental health disorders.This program provides:- Support- Treatment and intervention resources- Referrals to trusted partners- Information, education, and guidance",['English'],Free,TRUE,,,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,TRUE,,,,,,,,0/5,Mental Health
Children and Family Counseling Services (Jewish Family and Children's Service of Greater Philadelphia),https://www.auntbertha.com//jewish-family-and-children%2527s-service-of-greater-philadelphia-%2528jfcs%2529--philadelphia-pa--children-and-family-counseling-services/4569588600930304?postal=19131,"['bereavement', 'mental health care', 'anger management', 'counseling', 'family counseling', 'individual counseling', 'support groups']",,"['adults', 'young adults', 'teens', 'children', 'seniors', 'individuals', 'families', 'benefit recipients', 'low-income', 'domestic violence survivors', 'depression', 'anxiety', 'ptsd', 'all mental health', 'lgbtqia+']",866-532-7669,https://www.jfcsphilly.org/main-home-page/children-teens-families/counseling/,,,[],available,"JFCS provides guidance and counseling to individuals, families, and those in interpersonal relationships. Our licensed clinical social workers use several established techniques and an eclectic approach to evidence-based interventions.Services include: - Individual counseling- Family therapy- Couples counseling- Anger management- Bereavement counseling- Support groupsWe provide a full spectrum of supportive services on a wide range of issues, including:- Domestic violence- Depression- Anxiety- Stress- PTSD/trauma- Raising a child with special needs- Life stressors- Isolation- Topics and questions related to LGBTQ- Community resources Our fee structure is case-by-case and may include a sliding scale, Medicare or additional financial assistance.JFCS receives referrals from senior centers, hospitals, other community organizations, family members, client self referrals and synagogues. Please complete the Request Service E-Form on our website for assistance, and our intake staff will respond within 1-2 business days. Alternatively, you may give us a call for more information.",['English'],Sliding Scale,TRUE,https://www.facebook.com/JFCSPhilly,https://www.twitter.com/@JFCS_Philly,"This program covers residents of the following counties: Philadelphia County, PA.",,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Bereavement Support and Financial Assistance (The Luca John Foundation),https://www.auntbertha.com//the-luca-john-foundation--princeton-nj--bereavement-support-and-financial-assistance/4779623186956288?postal=19131,"['bereavement', 'burial & funeral help', 'financial assistance']",,"['adults', 'young adults', 'teens', 'seniors', 'grieving', 'families', 'with children', 'low-income', 'caregivers', 'fathers', 'mothers', 'parents']",866-613-2716,https://lucajohnfoundation.com/programs/,,,['This program serves parents who have lost a child at 12 months or younger OR whom were stillborns.'],available,"The Luca John Foundation provides bereavement support and financial assistance to families who have lost an infant child at 12 months or younger, or a stillbirthThis program provides: - Burial financial assistance - Bereavement support Applications for assistance are accepted on a rolling basis. Staff make an effort to contact every applicant within 24 hours of receiving their application. Unfortunately, not every request can be approved, as the Foundation prioritizes the families who are most in need of assistance. Applications can be completed online.To apply for this program click ""Assistance"" found on the top of their website.",['English'],Free,TRUE,https://www.facebook.com/thelucajohn/,https://www.twitter.com/@TheLucaJohn,This program covers residents of All US states and territories.,,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Bilingual Domestic Violence Program - Hotline (Sikh Family Center),https://www.auntbertha.com//lutheran-settlement-house--philadelphia-pa--bilingual-domestic-violence-program---hotline/4746723003990016?postal=19131,"['counseling', 'navigating the system', 'help hotlines']",,"['domestic violence survivors', 'in crisis', 'all ages']",866-723-3014,http://www.lutheransettlement.org,,,[],available,"The Bilingual Domestic Violence Program collaborates with other domestic violence programs and the City of Philadelphia to operate the Philadelphia Domestic Violence Hotline which provides the following for victims of domestic and dating abuse:

Services include:

- Crisis intervention 
- Counseling
- Safety planning
- Referrals for domestic abuse services and other needs

The hotline is toll free and is answered by trained counselors 24-hours a day and offers services in multiple languages. The hotline is also covered by local agencies Congreso de Latinos, Women in Transition, and Women Against Abuse.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/pages/Lutheran-Settlement-House/152800584747421,https://www.twitter.com/@LSH1902,"This program covers residents of the following counties: Philadelphia County, PA.",,,,TRUE,,,,,,,,0/5,Mental Health
Nationwide Helpline (Sikh Family Center),https://www.auntbertha.com//sikh-family-center--san-carlos-ca--nationwide-helpline/5031191878172672?postal=19131,"['individual counseling', 'navigating the system', 'support network', 'help hotlines']",,"['adults', 'young adults', 'teens', 'children', 'seniors', 'immigrants', 'refugees']",866-732-7392,https://sikhfamilycenter.org/helpline/,,,['This program primarily serves the Sikh American community.'],available,"Sikh Family Center's Nationwide Helpline provides culturally specific peer-counseling and non-emergency support for community members in Punjabi and English. The phone line is staffed by volunteers committed to supporting community members facing or fearing any threats to their health, safety, and/or security. They connect members of the community with resources they may not otherwise access. This program provides:- 24/7 Helpline- Counseling- Connections to resourcesWhen you call, seekers are encouraged to leave a message on their voicemail. They will try their best to return your call within 48 hours.","['English', 'Punjabi']",Free,TRUE,https://www.facebook.com/SikhFamilyCenter/,https://www.twitter.com/@SikhFamilyCtr,"This program covers residents of the following states: WA, WI, WV, FL, WY, NH, NJ, NM, NC, ND, NE, NY, RI, NV, CO, CA, GA, CT, OK, OH, KS, SC, KY, OR, SD, DE, DC, HI, TX, LA, TN, PA, VA, AK, AL, AR, VT, IL, IN, IA, AZ, ID, ME, MD, MA, UT, MO, MN, MI, MT and MS.",,,,TRUE,,,,,,,,0/5,Mental Health
Parent and Family Support Groups (Caron Treatment Centers - Florida),https://www.auntbertha.com//caron-treatment-centers---florida--boca-raton-fl--parent-and-family-support-groups/5104920701698048?postal=19131,"['family counseling', 'support network', 'support groups', 'virtual support']",,"['adults 18+', 'families', 'substance dependency']",866-936-0897,https://www.caron.org/support-groups/parent-and-family-support-groups,,,['This program helps people who are older than 18 years old.'],available,"The Caron Parent and Family Groups are designed to meet the needs of those with loved ones who are currently in treatment, are using alcohol and/or drugs in a problematic manner, or are in recovery.This program provides:- Support groupsMeetings are being held virtually at this time. Please check the program website for more information.",['English'],Reduced Cost,TRUE,https://www.facebook.com/caron,https://www.twitter.com/@CaronTreatment,This program covers residents of the following states: PA.,,,,TRUE,,,,,,,,3.3/5,Mental Health
Post-Deployment: Support Resources for Homecomings (American Red Cross),https://www.auntbertha.com//american-red-cross--washington-dc--post-deployment%253A-support-resources-for-homecomings/5115435162796032?postal=19131,"['health education', 'understand mental health', 'support network']",,"['adults 18+', 'active duty', 'national guard', 'veterans', 'families']",877-272-7337,http://www.redcross.org/find-help/military-families/deployment-services/postdeployment-preparedness-homecoming,,,[],available,"The American Red Cross offers multiple skill-building opportunities to help service members and veterans - as well as their families and support systems - identify and cope effectively with the unique challenges that arise after a deployment and can linger, long after leaving the military, if left unaddressed.Services provided:- Reconnection workshoypes of workshops include:- Communicating clearly- Exploring stress and trauma- Identifying depression- Relating to children- Working through angerThe workshops are free and available to all those impacted by a military deployment from all branches of the Armed Forces, which includes Reserve, National Guard, active duty service members, veterans and their families, including spouses, parents, siblings, significant others and close friends.",['English'],Not specified,TRUE,,,This program covers residents of All US states and territories.,,,,FALSE,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,8:00AM - 5:00PM   ,Closed,Closed,4.5/5,Mental Health
GI Rights Hotline (Gl Rights Network),https://www.auntbertha.com//gi-rights-network--siler-city-nc--gi-rights-hotline/5736035123462144?postal=19131,"['government benefits', 'understand government programs', 'support network', 'counseling', 'help hotlines', 'one-on-one support', 'advocacy & legal aid']",,"['adults 18+', 'veterans', 'all disabilities']",877-447-4487,http://girightshotline.org/en/,,,[],available,"The GI Rights Hotline provides accurate, helpful counseling and information on military discharges, AWOL and UA, and GI Rights.This program provides:- Help hotlineIssues that can be addressed include:- DEP Discharges (Delayed Entry Program)- Entry Level Separation- Dependency or Hardship Discharges- Medical or Disability Discharges- ODPMC or Psychological Discharges- Conscientious Objection Discharges- Reservist Unsatisfactory Participation- AWOL or UA- Reservist Mobilization- Article 138 Complaints- Harassment or DiscriminationThey sometimes have trouble returning calls to international callers so if calling from overseas, please leave an email as well in the voicemail.","['English', 'Spanish']",Free,TRUE,,,This program covers residents of All US states and territories.,,,,TRUE,,,,,,,,0/5,Mental Health
Quit Smoking Hotline (National Cancer Institute),https://www.auntbertha.com//national-cancer-institute--bethesda-md--quit-smoking-hotline/5764701216702464?postal=19131,"['addiction & recovery', 'substance abuse counseling', 'health education', 'one-on-one support']",,"['adults', 'young adults', 'teens', 'seniors', 'limited english', 'substance dependency', 'smoker']",877-448-7848,https://www.cancer.gov/about-cancer/causes-prevention/risk/tobacco,,,[],available,"NCI offers free, confidential information about quitting tobacco by phone and online via the chat feature.This program provides:- Smoking cessation helplineThe National Cancer Institute’s trained counselors provide information and support for quitting in English and Spanish. Smoking cessation counselors are available online by clicking the ""Quitting Smoking"" button in the LiveHelp pop-up on our website.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/cancer.gov,https://www.twitter.com/@theNCI,This program covers residents of All US states and territories.,,,,FALSE,9:00AM - 9:00PM   ,9:00AM - 9:00PM   ,9:00AM - 9:00PM   ,9:00AM - 5:00PM   ,9:00AM - 9:00PM   ,Closed,Closed,0/5,Mental Health
Crisis Response (HOPE Animal - Assisted Crisis Response),https://www.auntbertha.com//hope-animal-assisted-crisis-response-%2528aacr%2529--eugene-or--crisis-response/5987124166918144?postal=19131,"['support & service animals', 'mental health care']",,"['all ages', 'students', 'employed', 'individuals', 'families']",877-467-3597,https://www.hopeaacr.org/,,,[],available,"HOPE AACR comfort dog teams are available to assist in recovery from crisis and disasters, assist mental health professionals on location, and are prepared for unpredictable situations. Teams can travel by various modes of transportation and are available on short notice. This program provides:- Crisis response assistance- Virtual visits",['English'],Free,TRUE,,,"This program covers residents of the following states: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV and WY.",,,,FALSE,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,8:00AM - 5:00PM  ,Closed,Closed,5.0/5,Mental Health
Community Support Line (Sex Worker's Outreach Project),https://www.auntbertha.com//sex-workers-outreach-project-%2528swop%2529--walnut-ca--community-support-line/6423428032757760?postal=19131,"['counseling', 'support network', 'help hotlines', 'one-on-one support']",,"['all ages', 'individuals', 'sexual assault survivors', 'in crisis']",877-776-2004,https://swopusa.org/resources/,,,[],available,"The Community Support Line provides a volunteer-staffed warmline where current and former sex workers, as well as activists and others seeking peer support can access direct support (including rape counseling and crisis intervention). This program provides:- Help hotline- Rape counseling- Crisis interventionSex Worker’s Outreach Project answers over 95% of calls and will respond to all calls in 24 hours.",['English'],Free,TRUE,https://www.facebook.com/swopusa/,https://www.twitter.com/@swopusa,"This program covers residents of the following states: AZ, CA, DC, FL, GA, HI, IL, KY, MD, MN, MO, NC, NH, NY, PA, TX, UT, WA and WI.",,,,TRUE,,,,,,,,0/5,Mental Health
Project Porchlight (Money Management International),https://www.auntbertha.com//money-management-international-%2528mmi%2529--stafford-tx--project-porchlight/4671216628137984?postal=19131,"['counseling', 'navigating the system', 'help fill out forms']",,"['all ages', 'individuals', 'families', 'natural disaster survivors']",877-833-1742,https://www.moneymanagement.org/recovering-from-a-natural-disaster#How%20it%20works,,,['This program serves all families and individuals living in a county where federal or state-declared disaster has occurred.'],available,"Project Porchlight offers free assistance and support for survivors of natural disasters.This program provides:- Assistance with FEMA aid applications- Guidance through the insurance claims process- Personalized recovery plan- Regular check-ins and ongoing support from a trained counselorProject Porchlight also provides specialized education for disaster survivors, as well as connectivity to other survivors through a moderated forum.",['English'],Free,TRUE,https://www.facebook.com/moneymanagementint,https://www.twitter.com/@moneymanagement,This program covers residents of All US states and territories.,,,,TRUE,,,,,,,,4.4/5,Mental Health
Peer Support Line (Physican Support Line),https://www.auntbertha.com//physician-support-line--new-york-ny--peer-support-line/4981663947554816?postal=19131,"['mental health care', 'help hotlines', 'peer support']",,"['adults 18+', 'covid19', 'students', 'individuals', 'all mental health']",888-409-0141,https://www.physiciansupportline.com/,,,"['Open to US based DO/MD/international equivalents at the attending, fellow, resident, intern, medical student, or research level.', 'Do not have to be currently practicing medicine to speak to a volunteers.']",available,"Physician Support Line is a peer-to-peer support line for physicians by volunteer psychiatrists helping our US physician colleagues and medical students who are affected by the COVID-19 epidemic and racism. This program provides: - Peer support Physician Support Line goals include:- To normalize pursuit of mental wellness by physicians and medical students- To encourage unity and empathy among physician colleagues- To provide a resource for physician and medical student emotional wellness to healthcare organizations and institutionsSupport and conversations are free and confidential. No identifying information is recorded, no phone numbers are stored, and volunteers have signed a confidentiality contract stating they will not discuss calls with anyone except the admin team, should there be a concern about imminent harm to self or others.",['English'],Free,TRUE,,,This program covers residents of All US states and territories.,,,,FALSE,8:00AM - 1:00AM   ,8:00AM - 1:00AM   ,8:00AM - 1:00AM   ,8:00AM - 1:00AM   ,8:00AM - 1:00AM   ,8:00AM - 1:00AM  ,8:00AM - 1:00AM  ,0/5,Mental Health
BPD Resource & Referral Center (Treatment and Research Adcancements for Borderline Personality Disorder),https://www.auntbertha.com//treatment-and-research-advancements-for-borderline-personality-disorder-%2528tara4bpd%2529--new-york-ny--bpd-resource-%2526-referral-center/5073396985233408?postal=19131,"['understand mental health', 'navigating the system', 'help hotlines']",,"['all ages', 'individuals', 'families', 'all mental health']",888-482-7227,http://www.tara4bpd.org/referral-center,,,['Anyone can access this program.'],available,"TARA4BPD operates a national helpline that provides information on the etiology and treatment of BPD as well as referrals to qualified clinicians, appropriate treatment, and/or support groups. Services: - HelplineWe can provide callers with: - Information about BPD- Referrals to clinicians specializing in BPD and DBT- Family support, education, and BPD support groups- Latest BPD research findings- Speakers bureau- Media bureau- BPD advocacyThose seeking our services can call the helpline or complete a Borderline Personality Disorder Inquiry on our website for more information.",['English'],Free,TRUE,,,This program covers residents of All 50 states.,,,,FALSE,12:00PM - 5:00PM   ,12:00PM - 5:00PM   ,12:00PM - 5:00PM   ,12:00PM - 5:00PM   ,12:00PM - 5:00PM   ,Closed,Closed,0/5,Mental Health
Mental Health Services (The City of Philadelphia Department of Behavioral Health and Intellectual disAbility Service),https://www.auntbertha.com//the-city-of-philadelphia-department-of-behavioral-health-and-intellectual-disability-services--philadelphia-pa--mental-health-services/5809062152503296?postal=19131,"['understand mental health', 'counseling', 'navigating the system', 'help hotlines']",,"['all ages', 'benefit recipients', 'uninsured', 'underinsured', 'caregivers', 'parents', 'all mental health']",888-545-2600,https://dbhids.org/mental-health-services/,,,[],available,"DBHIDS offers help accessing and navigating mental health services for yourself, a family member or a significant other.Sensitive and trained staff are available to assist with general information and referral resources for services such as:- Case Management- Housing Supports- Homelessness Outreach- Mental Health Court- Criminal Justice supports- Family Supports- Other mental health-related supportsIf you are a Philadelphian that is uninsured or underinsured call 215-685-5400. If you are Medicaid eligible call 888-545-2600. Services are available regardless of your ability to pay.*Effective immediately, and until further notice, CBH’s administrative offices will not receive visitors. Please call if you're seeking services.*",['English'],Reduced Cost,TRUE,https://www.facebook.com/pages/Philadelphia-PA/City-of-Philadelphia/23587514958,https://www.twitter.com/@PhiladelphiaGov,"This program covers residents of the following cities: Philadelphia, PA.",,,,TRUE,,,,,,,,0/5,Mental Health
